Swedish,English
fiender,enemies
röd,RED
födelsedag,birthday
leo,leo
alltihop,all of it
troligen,probably
emily,emily
lögn,lie
joey,joey
avtal,agreement
påminner,reminds
toaletten,the toilet
kontakta,contact
allihopa,all of them
fötter,feet
pâ,on
ifall,If
faktum,fact
starka,strong
klass,class
kuk,cock
viktigaste,most important
drack,drank
återvänder,returns
ansvarig,responsible
don,don
systemet,the system
sten,stone
hoppade,jumped
position,position
nyheterna,the news
stänger,closes
långa,long
platser,places
uppdraget,the mission
mörkret,the darkness
skär,notch
skapar,creates
dna,dna
r,r
vis,always
semester,semester
tuff,tuff
snabb,fast
luke,luke
middagen,the dinner
adress,address
års,years
lustigt,funny
orkar,can bear
tycks,seems
lily,lily
skrämde,scared
tillgång,access
nycklarna,the keys
kastar,throws
hållit,held
räknar,counting
rädsla,fear
slippa,avoid
duger,will do
baren,the bar
undrade,wondered
begär,requests
eftermiddag,afternoon
känd,known
skadade,damaged
nöje,pleasure
mörkt,dark
match,match
lyckliga,happy
frankrike,France
märkligt,strange
företaget,the company
armé,armed
växer,growing
svår,difficult
hittades,was found
svarade,replied
missar,misses
möjlighet,ability
öppet,open
hundar,dogs
energi,energy
sådär,like that
professor,professor
bygger,builds
saknat,missed
dagarna,the days
acceptera,accept
lurade,cheated
and,and
tvätta,wash
idéer,ideas
mej,me
löjligt,ridiculously
plocka,pick
lisa,lisa
dölja,hide
ställde,posed
förvånad,surprised
high,high
numret,the number
dödad,killed
majestät,majesty
eh,eh
big,big
hållet,held
hård,hard
letat,looked for
försvara,defend
personligt,personally
föreställa,imagine
kastade,threw
styr,steer
lek,lek
svag,weak
arm,arm
stoppar,stops
hemligt,secretly
domare,Judge
fundera,think
blommor,flowers
avslöja,reveal
efteråt,afterwards
mörda,murder
ungarna,the kids
ringen,the ring
arbetet,the work
st,st
gifter,poisons
sjunger,sings
vaknade,woke up
carl,carl
sökte,sought
handlade,shopped
mördad,murdered
dagens,of today
sakerna,the things
läs,read
möter,meets
smaka,taste
rika,like
flickorna,the girls
hamna,end up
snabba,fast
fälla,trap
stil,style
avskyr,abhor
städa,clean
pass,pass
klient,Client
sms,sms
kärleken,the love
flög,flew
vänder,turns
heliga,saints
fokusera,focus
tysta,shut up
annanstans,elsewhere
fienden,the enemy
hemliga,secret
drottning,queen
kilometer,kilometer
jackson,jackson
relation,relation
idioter,idiots
lås,lock
el,he
gråter,cries
bröst,breast
klubben,the club
leker,toys
plus,plus
lucy,lucy
hann,he
hämnd,revenge
fulla,full
likadant,same
sjuka,sick
rapport,report
system,system
jones,jones
rättvisa,Justice
assistent,assistant
farmor,grandmother
fiende,enemy
viss,everything
tvingade,forced
los,the
spara,save
bollen,the ball
morgan,morgan
råkar,happens to
ovanligt,unusual
förlåta,forgive
franska,French
givetvis,of course
vapnen,the weapons
lord,lord
louis,louis
rose,rose
bekant,known
smakar,tastes
missa,loose
susan,susan
packa,pack
kniv,knife
al,al
katt,Cat
förändra,change
inse,realize
fyller,filling
jeff,jeff
bröllopet,the wedding
tjejerna,the girls
planerat,planned
döende,dying
dansar,dancing
källaren,the basement
skriker,screams
barry,barry
ändrar,changes
mästare,Master
färg,color
påstår,claims
vilse,astray
vakt,guard
valt,fall
vuxen,adult
chloe,chloe
kopp,kopp
arbetade,worked
jenny,jenny
låst,locked
perfekta,perfect
översatt,translated
operation,operation
c,c
byter,changes
förväntar,expect
abby,abby
poängen,the point
magen,the stomach
planeten,planets
grace,grace
märker,notices
tacksam,grateful
panik,panic
nått,reached
höga,high
nödvändigt,necessary
alternativ,alternative
ledde,led
tyska,German
kollat,checked
sjukt,sick
vinden,find
inuti,Inside
räddar,saves
normal,normal
tillfället,the occasion
musiken,the music
still,still
fredag,Friday
kämpar,fighting
cia,cia
månaden,the month
inspektör,inspector
förstört,destroyed
bilderna,the pictures
grabb,Guy
rykte,reputation
född,born
röka,smoke
mening,my
förbannade,cursed
kelly,kelly
klänning,dress
bråka,fight
kläderna,the clothes
kall,cold
saknade,missed
svåra,difficult
byggde,built
stig,score
fortare,faster
otrolig,incredible
bitti,finished
öppnade,opened
förvirrad,confused
b,b
uppenbarligen,obviously
annie,annie
tomt,empty
cool,cool
herren,Men's
kyssa,kiss
mod,against
patient,patient
knä,knee
lyckats,succeeded
långsamt,slowly
lägenheten,the apartment
vitt,White
dej,water
kompisar,friends
kilo,kilo
skära,cut
m,m
fungerade,worked
program,program
julia,julia
skrämma,scare
betyda,mean
rörde,touched
legat,bound
botten,bottom
planerar,plans
språk,language
sparka,kick
scenen,the stage
bud,bud
mars,mars
råkade,happened
fingeravtryck,fingerprint
julie,julie
slagit,struck
vars,whose
naken,naked
lådan,the box
snarare,rather
lördag,Saturday
ting,thing
åsikt,opinion
käft,jaw
byn,the village
kim,kim
for,for
brinner,burning
lögnare,liar
flaska,bottle
kalifornien,California
syn,his
paus,base
rosa,rosa
upptäckte,discovered
armen,poor
bestämde,decided
hitler,hitler
styra,steer
överlevde,survived
stryk,stroke
erfarenhet,experience
lade,let
besöka,visit
filmer,films
längs,along
imponerande,impressive
andre,others
bomb,bomb
europa,Europe
druckit,drunk
växa,grow
familjer,families
uppför,up
söta,sweet
gisslan,hostage
ligg,lie down
behov,need
elva,the river
by,by
störa,interfere with
gäster,guests
fakta,fact
lågt,low
sjukdom,disease
sheriff,sheriff
tider,times
vunnit,won
lust,lust
knäpp,wacky
pressen,the press
behåll,keep
stjäl,steal
mera,more
nätet,The net
tydligt,clearly
läkaren,the doctor
kroppar,bodies
fjärde,fourth
bög,gay
gratulerar,Congratulations
rock,rock
bomben,bombs
enkel,single
snuten,the muzzle
pojkarna,the boys
varifrån,from whence
finna,find
blind,blind
åratal,years
chicago,chicago
ytterligare,further
ah,ah
da,and
ledigt,free
djävulen,the devil
suttit,sat
gary,gary
sång,singing
tufft,tough
hästar,horses
fantastiska,fantastic
texas,texas
rick,rick
fruktansvärt,terrible
lady,lady
yngre,younger
victor,victor
starkt,strong
såhär,like this
robin,robin
flygplatsen,the airport
svärd,sword
howard,howard
förbannad,cursed
laura,laura
skadar,damages
skrika,scream
lyssnade,listened
såja,so yes
viktigare,more important
fy,my
mitten,middle
skrek,screamed
orden,order
totalt,in total
larry,larry
verkliga,real
risk,risk
hörnet,the corner
mirakel,miracle
krossa,crush
gammalt,old
pund,pound
nivå,level
hejdå,bye
halvtimme,half an hour
amanda,amanda
sur,on
drottningen,the queen
längst,a long time ago
konst,art
vittne,witness
programmet,the program
universum,universe
radion,the radio
modig,brave
personligen,personally
park,park
erbjuder,offers
maggie,maggie
träffats,met
kvinnorna,the women
mörka,dark
signal,signal
godnatt,good night
ledig,available
mesta,cities
märke,characters
prins,caught
träff,hit
cancer,cancer
dödades,was killed
favorit,favorite
elden,from hand
röker,smoking
därinne,in there
snygga,good-looking
näsan,the nose
människan,the human
elizabeth,elizabeth
hjälpt,helped
marcus,marcus
doug,doug
labbet,the lab
tim,tim
mans,mans
måndag,Monday
benet,benet
gömde,hid
förde,brought
datorn,computer
ögat,the eye
elak,Prevent
smith,smith
rättvist,fair
månen,the moon
tyskland,Germany
komplicerat,complicated
erbjuda,offer
fylla,fill
köp,buy
skulden,the debt
jävlas,fucking
visat,shown
jackie,jackie
äckligt,disgusting
polare,polar
undersöka,examine
kula,care
nyfiken,curious
fönster,window
använt,used
ställen,places
mjölk,milk
roger,roger
oskyldiga,innocent
varning,warning
risken,the risk
brevet,brevet
rygg,back
fixade,fixed
stängt,closed
ross,ross
finner,finds
josh,josh
mänskliga,human
meddela,inform
amen,amen
hälsar,greets
kulor,bullets
kniven,the knife
ende,end
glädje,Joy
humör,humor
underbara,wonderful
märkt,marked
kollega,colleague
känn,feel
tunga,half
data,data
hannah,hannah
vegas,vegas
gruppen,the group
befinner,is located
angeles,angeles
foto,Photo
linda,linda
snut,cop
skäms,ashamed
dans,In
gräva,dig
taylor,taylor
konstiga,strange
helen,helen
vuxna,adults
därute,out there
satan,satan
smärtan,the pain
funka,work
äran,the honor
dean,dean
flyg,flight
utredningen,the investigation
hank,hank
rött,RED
tappa,stage
sean,sean
räknas,is counted
anar,anar
alltför,too
donna,donna
våningen,floor
fitta,pussy
bravo,bravo
funderar,pondering
gäst,guest
morfar,grandfather
falla,fall
miles,miles
punkt,point
hemlig,secret
frågat,asked
detaljer,details
tappar,drops
nathan,nathan
missat,missed
roliga,fun
trott,trott
grader,grader
kamera,camera
misslyckas,fail
lösning,solution
skador,injuries
oskadd,unharmed
spelat,played
ambulans,ambulance
flydde,escaped
tjugo,twenty
hundratals,hundreds
hörs,can be heard
whisky,whisky
tåg,train
besatt,possessed
lön,salary
simma,swim
kod,code
existerar,exists
lögner,lies
intresse,interest
träna,train
bruce,bruce
tillåter,allows
parken,the park
hämnas,revenge
avstånd,distance
gröna,greens
tvivlar,doubt
kina,deep
molly,molly
skjuts,ride
rapportera,Report
sommaren,the summer
show,show
livs,of life
karen,karen
våran,ours
bron,source
tålamod,patience
you,you
släkt,family
gubben,the old man
uppgift,task
gibbs,gibbs
res,res
hittills,to date
straff,penalty
samvete,conscience
domaren,the judge
jamie,jamie
grymt,cruelly
store,store
stjärna,star
kurs,course
informationen,information
school,school
rad,rad
patrick,patrick
begravning,funeral
söndag,Sunday
bäste,best
klocka,clock
personliga,personal
mardröm,nightmare
kontrollen,the control
mobilen,the mobile phone
sidor,pages
ödet,Fate
erbjöd,offered
leonard,leonard
lukten,the smell
april,april
ljudet,the sound
funderat,pondered
sovit,slept
tyskarna,the Germans
vänlig,friendly
handla,act
kunder,customers
lysande,brilliant
knullar,fucks
resultat,results
gräs,grass
glass,glass
mexiko,Mexico
sistone,lately
plikt,duty
smak,taste
ungen,the kid
närmaste,nearest
geni,genes
verkligheten,the reality
drag,drag
riskera,risk
cole,cole
drömde,dreamed
valet,valet
ro,ro
verkligt,real
bråk,fraction
väcka,wake up
teori,theory
promenad,walk
roy,roy
skillnaden,the difference
king,king
erkänner,admits
prinsessan,the princess
rita,rita
hatade,hated
bergen,the mountains
lös,loose
sinne,there
champagne,champagne
levt,lived
kl,at
flyttat,moved
carrie,carrie
göras,be done
önska,wish
ångrar,regretting
präst,priest
adressen,the address
strunt,rubbish
ångra,Undo
ändrade,changed
pizza,pizza
sann,TRUE
anne,anne
likt,put
mänsklig,human
eva,eva
ond,but
vännen,the friend
sanna,prove
lider,the leader
klok,clock
kostym,suit
blöder,bleeding
brud,breakup
upptäckt,discovered
löst,solves
beter,better
gripa,flu
scen,scene
radio,radio
falska,fake
bank,bank
bott,lived
författare,Author
flyr,flies
skrämmande,scary
förklaring,explanation
byxor,pants
gordon,gordon
strunta,never mind
hörru,listen
välj,choose
behandlar,treats
klarat,done
ma,and
projekt,Project
sjön,the lake
godis,candy
startade,started
typen,the type
varna,varna
anfall,attack
löfte,promise
svårare,more difficult
funnits,existed
startar,starts
behandla,treat
kontrakt,contract
märkte,noticed
penny,penny
utrustning,equipment
rymden,space
beroende,dependent
attack,attack
brydde,cared
högst,at most
amerikansk,American
ryska,Russian
agenter,agents
tyler,tyler
historier,stories
svek,betrayal
staten,staten
vakter,guards
vägrade,refused
bytte,Exchange
delta,delta
drömmer,dreams
bröd,bread
ängel,Angel
dock,dock
lyft,lyft
cooper,cooper
jesse,jesse
vittnen,witnesses
sexig,sexy
lex,lex
kyckling,chicken
gemensamt,commonly
brown,brown
grym,force
hotade,endangered
anledningen,the reason
försvunnen,missing
funkade,worked
mage,mage
togs,was taken
soffan,the sofa
jord,land
låda,box
pinsamt,embarrassing
hämtade,picked up
nyckel,key
frid,peace
prov,prov
fullständigt,completely
sväng,turn
hästen,the horse
kommissarie,commissar
internet,internet
jay,jay
stämma,meeting
farliga,dangerous
jacob,jacob
trivs,thrives
enorm,enormous
övertyga,convince
låtit,let
fritt,freely
lida,in the
utredning,investigation
olagligt,illegal
källa,source
tystnad,silence
färdigt,finished
tas,that
patienter,patients
verka,act
galning,madman
het,It
midnatt,midnight
sprit,sprit
maskinen,the machine
talang,talent
kartan,the map
greg,greg
tok,took
driva,drive
otrogen,unfaithful
filma,movie
mötte,met
terry,terry
bruden,the bride
kring,around
förlåter,forgives
ordförande,President
respekterar,respects
wayne,wayne
icke,non
restaurang,restaurant
marty,marty
fixat,fixed
kvarter,quarter
sällan,rarely
fötterna,the feet
skrik,fright
erbjudande,offer
badrummet,the bathroom
stoppade,stopped
inre,internal
grät,cried
förmåga,ability
ändrat,changed
vände,turned
itu,That
medborgare,national
choklad,chocolate
skönhet,beauty
krigare,warrior
basen,swimming pool
publiken,the audience
monsieur,Sir
seger,victory
syfte,purpose
döljer,hides
aaron,aaron
tvingar,forces
fågel,bird
klokt,wisely
skaffar,acquires
ful,ful
klär,clothes
känslan,the feeling
rök,argument
undra,wonder
armar,arms
fortsatte,continued
röven,the ass
ex,ex
bortom,beyond
allvarlig,serious
andrew,andrew
lyder,sounds
byggt,built
operationen,the operation
baksidan,the back
njuta,enjoy
betydde,meant
samarbeta,cooperate
våga,dare
frankie,frankie
sår,wound
madame,madame
riskerar,risk
fet,done
miller,miller
edward,edward
marie,marie
systrar,sisters
porten,carry
jessica,jessica
black,black
öknen,the desert
uppenbart,obvious
ryssarna,the russians
moster,aunt
accepterar,accepts
identifiera,identify
fånge,Prisoner
paket,package
stulit,stolen
lucas,lucas
gay,gay
sâ,to
ron,ron
kopia,copy
hatt,hat
gissar,guessing
betalat,paid
lngen,lngen
villig,willing
sågs,was seen
tjuv,thief
sorg,care
maskin,machine
skorna,the shoes
schyst,handsome
led,led
sämre,inferior
house,house
förhör,hearing
älskat,loved
skar,touching
hata,even
trygg,safe
sena,this
önskan,wish
avgöra,determine
ethan,ethan
hängde,hung
heta,so that
nina,nina
hey,hey
cirka,about
skaka,shake
uppgifter,tasks
west,west
vänskap,Friendship
misstänkta,suspects
försvunnit,disappeared
makten,the power
hyra,rent
desperat,desperate
röv,ass
walker,walker
enbart,solely
leende,smiling
käre,dear
morbror,uncle
examen,exam
trick,trick
såvida,unless
spränga,blast
färdiga,finished
påverkar,affect
beredda,prepared
rapporten,the report
oftast,most often
derek,derek
utföra,perform
låsa,lock
miami,miami
gatorna,the streets
idén,this year
johnson,johnson
söner,sons
insidan,the inside
steven,steven
spöke,ghost
jagade,hunting
gevär,rifle
skapat,created
svartsjuk,jealous
bränna,burn
medlem,member
gården,the farm
allas,everyone's
varnade,warned
täcker,covers
granne,neighbour
seriöst,seriously
fotboll,football
behövt,needed
fryser,freezer
nate,nate
afrika,Africa
läge,location
dyka,dive
nåväl,Well
misstänkte,suspected
beth,beth
senator,senator
hotar,threatens
bitar,pieces
typiskt,typical
rättigheter,rights
regel,rule
island,island
lurar,lurking
norrut,to the north
strålande,brilliant
slyna,slut
trappan,the stairs
koncentrera,concentrate
öron,ears
oskuld,innocence
medveten,aware
bekräfta,confirm
kraften,the power
hårda,hard
bevisen,the evidence
fantasi,fantasy
mördades,was murdered
grönt,green
döma,judge
sålt,sold
stinker,stinker
byxorna,the pants
marknaden,the market
trycka,press
privata,private
earl,earl
am,am
innehåller,contains
utbildning,training
albert,albert
föda,food
professorn,the professor
verklig,real
häng,hang
slogs,fought
gulligt,cute
höghet,highness
lägret,the camp
femte,fifth
minnet,the memory
personal,personal
litade,trusted
meddelandet,message
samlar,collects
officiellt,officially
vägar,ways
media,media
ställt,posed
doc,doc
fingrar,fingers
inbrott,burglary
trubbel,trouble
dyrt,expensive
reste,stay
klippa,cut
tvärtom,on the contrary
tyder,suggest
clay,clay
davis,davis
g,g
förtjänade,deserved
casey,casey
sally,sally
ordnat,ordered
flottan,the fleet
allra,everyones
foton,photos
angår,concerns
skyldiga,guilty
kliv,stride
hitåt,this way
följt,followed
antal,Quantity
charlotte,charlotte
brutit,broken
wilson,wilson
vakterna,the guards
däck,deck
spelare,player
ost,ost
rebecca,rebecca
förälskad,in love
flygplan,aircraft
vikt,weight
klänningen,the dress
katie,katie
restaurangen,the restaurant
h,h
kännas,feel
raka,cancer
tvungna,forced
katten,cats
linje,line
fångade,caught
vincent,vincent
miljarder,billions
tänderna,the teeth
vädret,the weather
försiktiga,careful
röster,voices
försvar,defense
rida,row
kvittar,does not matter
förbereda,prepare
hjälpen,the help
verk,work
faster,faster
låten,the song
svensk,Swedish
berlin,berlin
sårad,wounded
otur,bad luck
kamp,match
naturen,the nature
motiv,reason
oscar,oscar
behåller,keeps
arslet,the ass
junior,junior
firar,celebrating
förrädare,betrayer
mamman,the mother
biljetter,Tickets
jakt,hunt
njut,enjoy
yeah,yeah
kommissarien,the commissioner
cent,cent
dubbelt,twice
test,test
ler,to read
arbetat,worked
rättegång,trial
avsnitt,Episode
förbered,prepare
häxa,witch
möt,meet
kommendör,commander
carol,carol
påminna,remind
storlek,size
ovanför,above
beteende,behavior
florida,Florida
skam,shame
motorn,the engine
hårdare,harder
läskigt,scary
signalen,signals
berget,the mountain
skumt,weird
lovat,promised
parker,parker
brände,burned
meddelanden,messages
jobbig,annoying
todd,todd
grav,serious
maste,mast
utnyttja,use
samhället,society
framgång,success
inklusive,including
närvaro,presence
björn,bear
lyckligt,happily
ryssland,Russia
kulan,meeting
äventyr,adventure
hurså,how so
nacken,the neck
mors,mother's
star,star
gudarna,the gods
orsaken,the reason
nycklar,keys
berättelse,story
öka,increase
dåre,fool
villkor,terms
rån,robbery
silver,silver
anställda,employees
räcka,hand
hud,hud
satsa,invest
linjen,the line
bete,fill up
showen,the show
strömmen,the current
post,post
borgmästaren,the mayor
trädet,the tree
helg,weekend
ton,ton
ingår,is included
imponerad,impressed
läger,camp
möjliga,possible
stolen,stolen
barnbarn,grandchild
ansvaret,responsibility
cell,cell
noll,noll
trycker,presses
bio,was
randy,randy
speciella,special
slängde,threw
morden,morden
andras,others'
serena,serena
värdelös,Useless
nä,see
förtroende,Trust
kontakter,contacts
skräp,debris
klubb,club
experiment,experiment
september,september
bakåt,backwards
kontanter,cash
amerikaner,American
kända,known
emellan,between
åklagaren,the prosecutor
sött,sweet
alkohol,alcohol
kokain,cocaine
klättra,climb
forskning,research
trist,sad
hissen,the elevator
tål,endure
motstånd,resistance
stilig,cool
skjutit,shot
grant,grant
expert,expert
läxa,lesson
betty,betty
hinna,the others
pojk,boy
borgmästare,Mayor
hörni,corner
katastrof,disaster
rösta,vote
lyfta,lift
tjänare,servant
extremt,extremely
bränner,burns
myndigheterna,authorities
används,is used
föräldrarna,the parents
fula,ugly
ursäktar,excuses
jess,jess
bevisar,proves
koden,the code
stått,stood
snubben,the dude
förstärkning,strengthening
finger,finger
nancy,nancy
rösten,the voice
ellen,ellen
regering,government
ilska,anger
förhindra,prevent
vilar,village
sänder,transmits
idioten,idiots
främling,stranger
agera,act
subba,subba
stängde,closed
hemifrån,from home
räddat,saved
bitch,bitch
misslyckades,failed
allison,allison
förändring,change
tomma,empty
jennifer,jennifer
ledtråd,clue
möjligheter,possibility
uh,uh
buss,buss
liz,liz
bryt,break
orsakade,caused
näsa,nose
bebis,baby
längtar,yearning
offra,sacrifice
norra,North
vilda,wild
bauer,bauer
blunda,close your eyes
underligt,weird
högra,right
artikel,article
planerade,planned
harold,harold
besegra,defeat
tomten,the plot
piller,pills
hålet,the hole
framsteg,progress
mörk,goals
andetag,breath
normala,normal
ytan,the surface
södra,southern
teamet,the team
rymma,accommodate
nämna,mention
pappan,the father
carlos,carlos
politik,politics
kund,customer
ökar,increases
berg,berg
ö,he
biten,ending
pang,yet
måla,paint
torsdag,Thursday
viruset,the virus
torka,dry
marshall,marshall
ande,Spirit
grön,Green
trasig,broken
identitet,identity
kram,hug
spänn,buckle
sons,sons
krav,claim
magiska,magical
dörrarna,the doors
hindrar,hinders
kaos,shirt
misstänker,suspect
inlåst,locked up
enhet,unit
ladda,load
slita,tear
befria,free
palmer,palmer
skämta,joke
knark,dope
foten,the foot
feta,more
hall,hall
värde,value
klädd,dressed
vittna,testify
kämpade,struggled
blanda,mix
evighet,eternity
forskare,researcher
sophie,sophie
sjutton,seventeen
zoe,zoe
dygnet,the day
spion,rearview mirror
farsan,the father
jacka,jack
föremål,subject
åter,re
kyrka,Church
videon,the video
japan,japan
femton,Fifteen
slösa,waste
kaptenen,the captain
gjord,made
jodå,yes
spanska,Spanish
roman,roman
enklare,simpler
blair,blair
erik,erik
white,white
krossade,crushed
stephen,stephen
ögonblicket,a moment
chffffff,chffffff
sorgligt,sad
elliot,elliot
främmande,foreign
gripen,gripen
härlig,lovely
socker,sugar
avslöjar,reveals
megan,megan
gömt,hidden
känslig,sensitive
teknik,technique
kunskap,knowledge
avtalet,the agreement
angela,angela
förste,First
läcker,delicious
tröja,sweater
herrejävlar,Holy shit
kontrollerar,controls
mänskligheten,humanity
viset,wise
harvey,harvey
lou,lou
jonathan,jonathan
tips,tips
jisses,gosh
pröva,try
förlåtelse,forgiveness
lidande,suffering
mm,mm
sömn,sleep
hat,has
hollywood,hollywood
flaskan,the bottle
stolta,proud
garaget,the garage
lana,work
skatt,tax
offren,the victims
älskare,lover
lincoln,lincoln
lojalitet,loyalty
tungt,heavy
dokument,document
rykten,rumours
sök,blame
kvart,quarter
brudar,brides
boston,boston
värst,worst
rymde,escaped
stormen,the storm
suga,sugar
naturligt,naturally
toa,hero
travis,travis
apa,what
as,as
kontakten,the contact
gänget,the gang
sovrum,bedroom
skilja,understand
koppling,coupling
nye,new
material,material
studera,study
jude,jude
byt,a flat
tidning,newspaper
tvivel,doubt
lokala,local
domstolen,the court
kortet,the map
lätta,lighten up
audrey,audrey
hjärtan,hearts
egendom,property
ägaren,the owner
sheldon,sheldon
förhoppningsvis,hopefully
utbyte,exchange
spegeln,the mirror
elena,elena
vakta,watch over
penna,penna
säsong,season
fotot,photos
jeremy,jeremy
avslutar,finishes
handlingar,actions
jordan,jordan
förändrar,changes
gris,gray
norr,north
sommar,summer
medel,average
kysste,kissed
fördel,advantage
oroliga,worried
grabbarna,the boys
trädgården,the garden
skyddade,protected
juli,July
arga,angry
spöken,ghosts
karta,can
green,green
mcgee,mcgee
korrekt,correct
sovrummet,the bedroom
stol,table
besvär,trouble
brad,brad
vakten,the guard
italien,Italy
service,service
bråkar,fighting
själar,souls
usel,lousy
juni,June
inbjudan,invitation
dennis,dennis
lewis,lewis
korridoren,the corridor
besökte,visited
rider,rider
olja,oil
seth,seth
fattat,understood
lastbilen,the truck
beställa,order
slänga,throw
halvt,half
stannat,stayed
överenskommelse,agreement
tittat,watched
drömt,dreamed
f,f
blåser,blowing
olivia,olivia
fattiga,poor
söderut,to the south
check,check
norman,norman
drake,drake
rensa,clear
michelle,michelle
skadat,damaged
stiger,increases
snack,snack
djup,depth
kristus,Christ
stunden,hours
enkla,simple
påverka,affect
modern,modern
mac,mac
kakor,like
skådespelare,actor
maj,maj
tillbringa,spend
smarta,smart
olyckan,the accident
tränar,exercising
road,road
anthony,anthony
kvitt,Quit
barbara,barbara
art,art
kollegor,colleagues
neil,neil
ljugit,lied
kostade,cost
mason,mason
stjärnorna,the stars
möts,meet
betydelse,meaning
dragit,drawn
fran,fran
anta,anta
tung,toss
godmorgon,good morning
julen,Christmas
grann,neighbor
right,right
skiljer,differs
tillhörde,belonged to
attjag,that I
vince,vince
vansinne,madness
tron,tron
delade,shared
användas,be used
gränser,borders
salt,salt
hals,neck
video,video
halvår,six months
resultatet,the result
korkad,stupid
storm,storm
rörelse,movement
humor,humor
skrattade,laughed
träning,exercise
banan,banana
närvarande,present
v,in
bekymmer,concern
kanon,kanon
förbannat,cursed
snett,crooked
williams,williams
martha,martha
grannar,neighbors
modell,model
rättegången,the trial
ansikten,faces
knipa,fix
skoj,fun
gråt,cried
mådde,felt
biljett,ticket
samarbetar,cooperates
