Swedish,English
jättekul,great fun
teddy,teddy
möjligheten,the opportunity
bensin,gas
drömmen,the dream
tant,so much
slöseri,waste
förblir,remains
joseph,joseph
härinne,in here
at,at
arsle,ass
skugga,shadow
likadana,the same
begick,committed
svärdet,the sword
väckte,woke up
advokater,lawyers
landa,countryside
press,press
fåglar,birds
fingrarna,the fingers
fången,captive
förlorare,loser
catherine,catherine
intervju,interview
anmäla,Report
dussin,dozen
alibi,alibi
raymond,raymond
brottsplatsen,the crime scene
folks,folks
beslutet,the decision
testar,test
virginia,virginia
judar,Jews
behandling,treatment
uppskatta,appreciate
synder,sinner
enorma,enormous
fattade,understood
återvände,returned
hoppet,jumped
släng,throw away
amerikan,American
okänd,unknown
stolthet,pride
bluff,bluff
dras,is drawn
logan,logan
bröstet,the chest
miste,loose
utför,perform
stirrar,stare
l.a.,the.
beskriva,describe
förhandla,negotiate
stängd,closed
knullade,fucked
dylan,dylan
patienten,patients
begravningen,the funeral
tisdag,Tuesday
länder,countries
jävlarna,the bastards
bada,if
stötte,bumped
somna,fall asleep
malcolm,malcolm
utrymme,space
överlämna,submit
sikta,aim
julian,julian
to,to
upprepar,repeats
beväpnad,armed
djuren,the animals
övertala,persuade
dörrar,doors
sverige,Sweden
fartyg,Ship
svaga,weak
förlust,loss
glasögon,glasses
affärerna,the shops
strider,strider
snubbe,dude
slottet,the castle
inblandade,involved
gabriel,gabriel
begrava,bury
skjorta,shirt
hmm,hmm
avdelning,section
årets,of the year
vd,CEO
vinnare,winner
rest,rest
mitch,mitch
russell,russell
möten,meetings
polarn,the pole
orättvist,unfairly
tvekan,hesitation
alexander,alexander
göm,hide
förväntade,expected
kamrat,companion
avundsjuk,jealous
vintern,the winter
såra,hurt
skrivbord,desk
blåsa,blow
puss,puss
blick,view
intresserade,interested
goddag,good day
sparkade,kicked
skojade,joked
hill,hill
sänk,lower
dödas,be killed
connor,connor
följande,following
översten,the colonel
hamnen,the port
hästarna,the horses
bytt,changed
satsar,bets
holly,holly
vanligtvis,usually
begå,commit
skett,happened
armarna,the arms
förgöra,Destroy
civila,civilian
jordens,of the earth
risker,risks
tekniskt,technically
samlas,gather
tänd,lit
stefan,stefan
demon,demon
orsaka,cause
vänstra,left
diana,diana
barnvakt,baby-sitter
stenen,stones
skämmas,be ashamed
skylla,blame
väst,west
styrelsen,the board
kameror,cameras
antog,assumed
bibeln,the bible
attackerade,attacked
enormt,enormously
förbjudet,prohibited
körkort,driving license
reaktion,reaction
princip,principle
tvingas,forced
smartare,smarter
vampyr,vampire
personlig,personal
slaget,the battle
cameron,cameron
fruktar,fear
medlemmar,members
christian,christian
förbli,remain
tjänade,served
lillebror,little brother
universitetet,the university
kusten,the coast
plånbok,wallet
afton,afton
varelser,creatures
olycklig,unhappy
nolla,zero
sort,sort
river,river
gryningen,the dawn
sökt,searched
francis,francis
utnyttjar,exploits
tiger,tiger
knappen,the button
brittiska,British
elaka,evil
super,super
sebastian,sebastian
kissa,cat
huvudvärk,headache
sonen,the son
främlingar,strangers
orsakar,causes
njuter,enjoying
ämne,subject
skedde,happened
mask,mask
farsa,farce
biblioteket,the library
vagnen,the cart
proffs,pro
las,the
sjöng,sang
generalen,the general
monica,monica
kaffet,the coffee
kent,kent
öh,uh
lager,lager
ty,ty
slump,slump
rulla,roll
poolen,the pool
avstängd,switched off
övertygad,convinced
lyda,obey
dick,dick
sliter,struggling
sköts,was shot
phoebe,phoebe
sparkar,kicks
moder,mother
lastbil,truck
francisco,francisco
dröjer,lingers
tak,so
caroline,caroline
rejält,seriously
penis,penis
överlevande,survivor
tina,from
gällde,applied
militär,military
resurser,resources
längesen,a long time ago
förbannelse,curse
mött,met
spanien,Spain
oerhört,incredibly
väcker,wakes up
satans,damn
befäl,command
grand,grand
öva,practice
juryn,the jury
butiken,the store
slösar,wastes
ägde,owned
lyssnat,listened
nyheten,the news
vampyrer,vampires
ronnie,ronnie
läppar,lips
räknade,counted
tillåtelse,permission
oktober,October
sänka,lower
kenny,kenny
boll,boll
chock,chock
representerar,represents
version,version
tara,tara
varnar,defence
sårade,wounded
skötte,handled
ungdomar,young people
byggnad,building
fascinerande,fascinating
indien,if
beundrar,admire
prat,prat
förmögenhet,fortune
mata,women
snygging,hottie
hjältar,heroes
slav,slav
politiska,political
falskt,false
fältet,the field
uniform,uniform
ammunition,ammunition
quinn,quinn
fiskar,fishes
drinkar,drinks
sprider,spreads
begått,committed
ann,ann
lektion,lesson
samband,connection
fs,fs
isen,the ice
striden,the battle
beställde,ordered
förtjusande,adorable
återgå,revert
mönster,pattern
oro,air
smutsiga,dirty
träden,the trees
mörker,darkness
bet,but
politiker,Politician
tävlingen,the competition
uppleva,experience
stiga,stairs
tjänster,services
gus,gus
låser,locks
dexter,dexter
namnen,the names
säkerheten,the security
cm,cm
gottgöra,make amends
damerna,the ladies
muren,walls
justin,justin
imorse,this morning
soppa,soup
elever,students
förbereder,preparing
ian,ian
varma,varma
slagsmål,fight
drömma,dream
öronen,the ears
trevliga,pleasant
tuttar,tits
advokaten,the lawyer
konto,account
bevara,preserve
b.,b.
story,story
projektet,the project
murphy,murphy
ali,or
vittnesmål,testimony
säkrare,safer
borgen,the castle
allierade,allies
tunneln,the tunnel
födelsedagen,the birthday
nat,nat
äh,uh
slutligen,finally
ogillar,dislike
såklart,of course
dödens,of death
axel,axel
sekreterare,Secretary
officer,officer
finn,finn
räknat,counted
mickey,mickey
besättningen,the crew
besökare,visitors
spendera,spend
stjärnor,stars
natur,nature
et,And
kön,sex
gillat,liked
dana,days
gosse,gosse
korta,short
shaw,shaw
one,one
margaret,margaret
station,station
blicken,look
rövhål,asshole
hamnat,ended up
attacken,the attack
spåren,the tracks
önskade,desired
lediga,available
moskva,Moscow
it,it
rapporter,reports
bröderna,the brothers
tysk,German
jean,jean
prinsessa,princess
start,start
upprepa,repeat
intill,next to
garderoben,the wardrobe
rollen,roll
schysst,nice
livets,of life
me,me
ondska,evil
märka,notice
osäker,uncertain
utifrån,from
matchar,matches
vana,old
cykel,bike
demoner,demons
enheter,units
piper,piper
hatten,had
geväret,the rifle
mannar,mannar
jersey,jersey
lekte,played
pekar,points
konstnär,artist
källan,the source
tillåta,allow
flykt,escape
ignorera,ignore
fegis,coward
dale,dale
skilsmässa,divorce
journalist,journalist
manny,manny
passera,will pass
fadern,the father
täckmantel,cover
verktyg,tool
riley,riley
paketet,the package
rört,touched
jättefin,great
betyg,Grade
läkarna,the doctors
sprida,spread
ralph,ralph
avbryta,cancel
provet,the sample
annans,another's
brorsan,the brother
klaga,complain
hurra,hurray
ricky,ricky
typer,types
landets,of the country
tvingades,was forced
öra,ear
beväpnade,armed
placera,place
byte,byte
städer,cities
singel,single
drev,drove
sjung,sing
falsk,False
jadå,yes
gullig,cute
nelson,nelson
heder,honor
ana,he
tavlan,the painting
samling,collection
omständigheter,circumstances
plockar,picks
undersöker,investigating
landar,lands
lyfter,lifts
detaljerna,the details
boss,boss
tända,light
låste,locked
minsann,indeed
swedish,swedish
värda,worth
sol,sun
avgör,decides
kronor,crowns
vårat,ours
sandy,sandy
väck,gone
djupare,deeper
välsigne,bless
dotters,daughter's
sno,sno
inatt,tonight
regn,rain
owen,owen
bryggan,the bridge
siffror,numbers
andel,share
slänger,throwing
chanser,chances
avsikt,intention
mia,my
missförstånd,misunderstanding
paret,the couple
my,my
craig,craig
pastorn,the pastor
stugan,the cottage
sjunker,sinks
livstid,lifetime
kallades,was called
von,from
skickades,was sent
förstörd,destroyed
pressa,press
därborta,over there
röstar,votes
svaghet,weakness
hajar,hajar
någons,someone's
försäkra,ensure
ordnade,arranged
gångs,once
louise,louise
stulen,stolen
kropparna,the bodies
lånade,borrowed
ständigt,constantly
nuförtiden,these days
öppnas,is opened
samlade,collected
släppt,released
blyg,shy
riktning,direction
tungan,the tongue
wendy,wendy
dygn,day
hundarna,the dogs
guvernören,the governor
warren,warren
rådet,the Council
nätter,nights
verksamhet,Operation
varelse,creature
helikopter,helicopter
labb,LAB
huvuden,heads
feber,fever
tjock,thick
medvetslös,unconscious
mördat,murdered
utnyttjade,exploited
belöning,reward
ruth,ruth
dejtar,dating
jakten,the hunt
november,november
soldaterna,the soldiers
kontraktet,the contract
skakar,shaking
virus,virus
gloria,gloria
tårar,tears
fickan,the pocket
verklighet,reality
tidpunkt,time
låtsades,pretended
våning,floor
barney,barney
tidningarna,the newspapers
kapitel,chapter
billigt,cheap
paige,paige
lydia,lydia
törstig,thirsty
slavar,slaves
svor,swore
härnäst,next
mitchell,mitchell
lois,lois
lugnande,calming
återstår,remains
puls,pulse
tillit,consideration
irriterande,annoying
däruppe,up there
isär,apart
masken,masks
cigaretter,cigarettes
tårta,cake
kristen,kristen
allen,allen
irak,Iraq
k,k
utsidan,the outside
tidig,early
hett,hot
terapi,therapy
brors,brother's
meningslöst,pointless
spöa,rod
militären,the military
gård,courtyard
väggarna,the walls
hemligheten,the secret
matthew,matthew
little,little
täck,cover
ditåt,there
medicinen,the medicine
hålls,held
äktenskapet,the marriage
romantiskt,romantic
brand,brand
sparar,saves
instruktioner,instructions
skärp,belt
händelser,events
brottsling,criminal
posten,the mail
kanin,rice
boy,boy
arv,number
färgen,the color
trupper,troops
ledtrådar,clues
goa,goa
sammy,sammy
frivilligt,voluntarily
upptäcka,discover
kinesiska,Chinese
fångarna,the prisoners
vice,vice
curtis,curtis
nåja,Oh well
måltid,meal
branden,the fire
fasen,the phase
dömd,convicted
vild,wild
ford,ford
dömer,judges
hungriga,hungry
brinna,burn
vackraste,most beautiful
pastor,pastor
påse,pouch
kanada,you have
budskap,message
nätterna,the nights
hunnit,have time
ramlade,fell
timmen,the hour
boka,the book
tränare,coach
bråkade,fought
rumpa,ass
chase,chase
runda,round
löjlig,ridiculous
bilarna,the cars
enastående,outstanding
skithög,skithög
skickas,sent
cigarett,cigarette
noah,noah
överraskad,surprised
hävdar,claims
tröst,comfort
prästen,the priest
tydlig,clear
datorer,computers
pissa,Pee
löften,promises
fordon,vehicle
pension,pension
tråkig,boring
on,on
ärende,matter
ropar,call out
vittnet,the witness
intressanta,interesting
jasså,yes
graven,graven
mick,mick
djungeln,the jungle
återkommer,will return
gräver,digging
vettigt,makes sense
sikte,aim
rep,rep
skratt,laugh
samt,and
vinst,profit
kampen,the match
harris,harris
leverera,deliver
victoria,victoria
augusti,August
täcka,cover
antalet,the number
heroin,heroin
döttrar,daughters
arresterad,arrested
bota,throw away
ljug,lie
snö,snow
shane,shane
wyatt,wyatt
kurt,kurt
uppåt,up
verket,the work
hjärtattack,heart attack
ropa,clothes
väger,weighs
daisy,daisy
sortens,sort of
vänja,get used to
vetenskap,science
akt,akt
p,p
städar,cleaning
ledaren,the leader
förvandlas,transform
caesar,caesar
positivt,positive
guldet,the gold
monroe,monroe
råder,prevails
centrum,center
dejta,data
nakna,naked
ersätta,replace
korv,sausage
klienter,clients
utväg,way out
slampa,slut
trycket,the pressure
j,j
sexuellt,sexually
amerikanerna,the americans
bakgrund,background
informera,inform
avslöjade,revealed
jonas,jonas
trädgård,garden
keith,keith
befälet,the commander
terrorister,terrorists
likadan,similar
yrke,profession
numera,number
leslie,leslie
avdelningen,the department
fastnat,stuck
överge,abandon
stenar,stones
gyllene,golden
öppnat,opened
främst,mainly
graham,graham
benjamin,benjamin
somnade,fell asleep
skita,Shit
applåd,applause
hotel,hotel
frus,frus
fingret,the finger
snutar,cops
fyllde,filled
frågorna,the questions
kosta,cost
richie,richie
därefter,then
förhållanden,conditions
heather,heather
kanal,channel
otto,otto
består,pass
riddare,knight
själen,the soul
lösningen,solution
anställd,employee
x,x
crane,crane
stuckit,stung
koma,come
blue,blue
råna,rob
orsakat,caused
ellie,ellie
envis,stubborn
ägare,owner
dumpade,dumped
kysser,kissing
dubbla,double
offentligt,in public
greps,was arrested
datum,datum
lake,lake
topp,top
gula,sugar
språket,the language
lance,lance
berömda,famous
händelse,event
kreditkort,credit card
firman,word
avslutat,finished
uttalande,statement
rymt,room
finaste,finest
varg,STRING
brooklyn,brooklyn
saga,saga
undantag,exception
stanley,stanley
lnget,lnget
militära,military
sexuella,sexual
go,go
efternamn,surname
dugg,dew
ledningen,management
skalle,skull
sport,sport
råtta,Rat
regnet,the rain
våldsam,violent
fysiskt,physically
respektera,respect
rapporterar,reports
himmel,heaven
allmänheten,the public
telefonnummer,phone number
orm,orm
såret,hurt
monstret,the monster
lunchen,the lunch
ctu,ctu
funnit,found
försvunna,disappeared
kvinnliga,female
hector,hector
bägge,both
girl,girl
trötta,weary
elev,student
seattle,seattle
kopplar,connects
pilot,pilot
samhälle,Society
häromdagen,the other day
sug,water
tillfälligt,temporarily
passande,suitable
åsikter,opinions
döds,of death
vänligt,kindly
ärr,scar
dusch,shower
råttor,rats
fabriken,the factory
paj,pages
östra,east
vanessa,vanessa
oväntat,unexpectedly
wallace,wallace
planera,plan
recept,prescription
samarbete,cooperation
passion,passion
no,no
kallad,called
berömd,famous
kommande,coming
lystring,lystring
yttre,outer
lån,loan
intryck,impression
begår,commits
onsdag,Wednesday
otroliga,incredible
kapabel,capable
böckerna,the books
erkände,admitted
varsågoda,here you go
hacka,hack
philip,philip
inflytande,influence
marco,marco
nonsens,nonsense
walt,walt
lägre,lower
nuvarande,current
hyran,the rent
tävling,contest
besöker,visiting
tornet,the tower
krossar,crushes
fartyget,the ship
kursen,the course
sången,the song
framtida,future
hal,matter
bomber,bomber
filmar,film
glor,stare
jämfört,compared
janet,janet
kris,kris
skicklig,skilled
tidningar,newspapers
logiskt,logically
bas,down
bekräftar,confirms
hunter,hunter
klagar,complains
klaus,klaus
söder,South
brist,lack
barns,barns
straffa,punish
grejerna,the stuff
nora,nora
paranoid,paranoid
mynt,coin
sända,send
värmen,the heat
intelligent,intelligent
central,central
kulorna,the balls
lojal,loyal
mäktig,powerful
förneka,deny
ordern,the order
säkerhets,security
lukta,smell
carla,carla
fisken,the fish
festa,party
cody,cody
privatliv,privacy
anklagar,accuse
katter,cats
skälet,the reason
mardrömmar,nightmares
användes,was used
populär,Popular
månaderna,the months
blommorna,the flowers
upplevt,experienced
rullar,rolls
spårade,tracked
siffrorna,the numbers
kungens,the king's
avenue,avenue
explosionen,the explosion
uttråkad,bored
tävla,compete
tuffa,tough
merlin,merlin
helikoptern,the helicopter
upptagna,busy
ken,ken
sabba,sabbath
vodka,vodka
möjligen,possibly
kara,cane
glaset,the glass
västerut,west
nicky,nicky
publik,public
nykter,sober
mattan,the carpet
sexigt,sexy
denne,this
party,party
fruktan,fear
gentleman,gentleman
ga,ga
parti,party
zach,zach
times,times
överlevt,survived
lampan,the lamp
zack,zack
dubbel,double
frukt,fruit
lena,with
kejsaren,the emperor
pierce,pierce
collins,collins
santa,santa
hursomhelst,Anyway
sonny,sonny
kallat,called
coach,coach
pablo,pablo
ras,ras
december,december
senatorn,the senator
griper,grabs
ställning,position
återigen,again
träffad,hit
dagbok,diary
baker,baker
beach,beach
club,club
tjänsten,the service
avgörande,crucial
tracy,tracy
skurk,villain
smäll,bang
reklam,advertising
bjudit,invited
undviker,avoids
sy,and
liket,looks like
talet,the number
knäcka,crack
mejl,email
fester,fester
sociala,social
låtar,songs
steget,increased
troligt,likely
utomjordingar,aliens
alec,alec
sorgen,care for
plockade,picked
förtjust,delighted
duschen,have a shower
kontaktar,contacts
grep,grip
evan,evan
överraska,surprise
upphör,ceases
lagligt,legally
skjortan,the shirt
toby,toby
upptäcker,discovers
stöter,bumps
utmaning,challenge
rådgivare,advisor
vrede,peace
främsta,foremost
prinsen,the prince
skulder,liabilities
rike,handle
lane,lane
spänd,tense
bekvämt,comfortable
dansen,dancing
brann,fire
förändringar,changes
konstapeln,the constable
tvättar,washes
troy,troy
beslutat,decided
locka,attract
handling,handling
knäppa,snap
um,one
anropar,calling
väder,weather
nicole,nicole
lapp,lapp
livrädd,terrified
österut,east
rar,rar
vågade,dared
grannarna,the neighbors
grinden,the gate
slet,Delete
chockad,shocked
utseende,appearance
värme,heat
veronica,veronica
plugga,plug
nöjda,satisfied
generation,generation
bränsle,fuel
jax,jax
förlorad,lost
hållas,be held
johan,John
total,total
tess,tess
porr,porn
smyga,sneak
blake,blake
mäktiga,powerful
fruar,wives
gubbe,old man
religion,religion
mått,measure
elaine,Elaine
utomlands,abroad
vingar,wings
uttrycka,express
spårar,tracks
ryktet,the rumor
processen,the process
ändras,is changed
profil,profile
leken,playful
varor,goods
queen,queen
fästmö,fiancee
häftig,blustery
spy,spy
maken,to make
bonnie,bonnie
wells,wells
leon,leon
sömnen,the sleep
watson,watson
jill,jill
rob,rob
branschen,the industry
roligare,more fun
kliva,step
fallit,fallen
insisterar,insists
passerar,passes
ruttna,addle
afghanistan,afghanistan
behandlade,treated
vagn,carriage
miljontals,millions
skyll,rinse
mästaren,the master
unik,unique
praktiskt,practically
schack,chess
seså,See you
stuga,cottage
mister,mister
vänligen,Please
duncan,duncan
robot,robot
strida,fight
dottern,the daughter
styrkan,the strength
anlitade,hired
oddsen,the odds
stone,stone
bekämpa,combat
dansade,danced
nöjet,the pleasure
horor,horror
holmes,holmes
plåga,torment
sand,sand
skatten,the treasure
status,status
telefonsamtal,phone calls
batman,batman
reagerar,react
lejon,GRANTS
dyra,expensive
stadens,of the city
täckt,covered
anländer,arrives
halloween,halloween
undersökning,investigation
berättelsen,the story
ashley,ashley
fört,brought
övergav,abandoned
dumpa,dump
övervåningen,upstairs
dödlig,lethal
australien,Australia
vera,being
utreder,investigating
motsatsen,the opposite
diego,diego
duke,duke
världskriget,world war
fas,fas
friheten,the freedom
stånd,stand
mikey,mikey
guy,guy
slagen,to succeed
gräset,the grass
botemedel,cure
uppfann,invented
kg,kg
beställt,ordered
andan,from the moment
kultur,culture
douglas,douglas
gjordes,was done
lokal,local
provar,to test
damon,damon
befälhavare,commander
benny,benny
hanterar,handles
babyn,the baby
dyr,animals
ström,Current
bekräftat,confirmed
grå,grey
tröjan,the shirt
gasen,the gas
vietnam,vietnam
arrestera,arrest
manus,manus
utsökt,delicious
nja,Well
nämner,mentions
juice,juice
jägare,hunter
räckte,handed
människans,man's
larmet,the alarm
halt,halt
fyllt,filled
kaka,autumn
liam,liam
organisation,organisation
terrorist,terrorist
axeln,the shoulder
metoder,methods
återvänt,returned
snackade,talked
svika,disappoint
anderson,anderson
sid,sid
usch,Yuk
förväg,in advance
lila,lila
förnekar,denies
gina,gina
bokat,booked
fästman,fiancé
nämnt,mentioned
personalen,the staff
baserat,based
fa,but
fält,field
hemmet,the home
heja,hey
stulna,stolen
japanska,Japanese
kennedy,kennedy
begäran,request
spåret,the track
kors,kors
varar,lasts
repet,repeat
natalie,natalie
testet,tested
tönt,sounds
prover,samples
motståndare,opponents
binda,bind
passade,fit
äga,own
fastnade,got stuck
teal,teal
löste,solved
jättefint,very nice
gas,gas
harper,harper
joy,joy
gudar,gods
gästerna,the guests
gjorda,made
east,east
avbryt,cancel
joan,joan
artikeln,the article
passagerare,passenger
sabbade,sabbade
hälsade,greeted
turner,turner
försvarar,defends
ämnet,the subject
knäppt,crazy
ursäkter,excuses
flygande,flying
manhattan,manhattan
troligtvis,belike
efterlyst,wanted
landade,landed
sjätte,sixth
erkänn,admit
förklarade,explained
grävde,dug
höjd,height
willie,willie
utav,out of
meg,yes
tester,tester
byrån,the bureau
stress,stress
tillbringade,spent
meddelar,announces
arnold,arnold
vänliga,friendly
bell,bell
utpressning,extortion
allvarliga,serious
magnus,magnus
theo,according to
användning,use
omgång,round
fattig,poor
flytande,liquid
kuken,the cock
gullet,the gold
fångat,caught
jackan,the jacket
felix,felix
teater,theater
stans,stans
kungliga,royal
försvaret,the defense
färdas,travel
grunden,the foundation
brorson,nephew
whoa,whoa
christine,christine
rånade,robbed
mexico,mexico
skaffade,acquired
körd,driven
kvällens,of the evening
djupa,deep
county,county
änglar,angels
partners,partners
tjänat,earned
caleb,caleb
larm,alarm
detektiv,detective
avbryter,interrupts
skift,shift
burke,burke
lockar,attracts
utkik,lookout
leksaker,toys
korkade,dumb
luta,fight
diskret,discreet
reta,letter
bin,bin
lugnar,calms down
samantha,samantha
riva,riva
ropade,shouted
pat,the same
tragedi,tragedy
omständigheterna,circumstances
bebisen,the baby
hav,hav
feg,feg
källor,sources
missfoster,missfoster
arbetare,worker
leve,light
äldsta,oldest
kämpat,struggled
huden,the skin
föreslog,suggested
brottslingar,criminals
live,live
vardagsrummet,the living room
smälta,melt
butik,Store
ambulansen,the ambulance
presenter,presenter
lawrence,lawrence
uppnå,achieve
höja,raise
lat,years
hedra,honor
kidnappade,kidnapped
patty,patty
slapp,relaxed
gul,gul
släktingar,relatives
hallen,the hall
nämen,Gosh
freddy,freddy
golf,golf
nr,No.
rimligt,fair
frukta,fear
veckorna,the weeks
skjutsa,give a ride
nikki,nikki
kamerorna,the cameras
chandler,chandler
stjärnan,the star
roa,long
ondskan,the evil
thompson,thompson
döv,deaf
tankarna,the thoughts
klassen,the class
franklin,franklin
bön,prayer
karaktär,character
mördar,murderers
north,north
setts,setts
organ,organ
skärmen,screen
group,group
bla,no
utsikt,view
flit,flit
klev,stepped
släck,turn off
loppet,the race
ärliga,honest
amiral,admiral
vaktar,guards
bailey,bailey
värdelösa,worthless
fattas,is lacking
seriemördare,serial killer
explosion,explosion
vision,vision
invånare,inhabitant
kock,kock
serie,series
klandra,blame
radera,delete
stålar,steals
anfaller,attacks
lyser,lights up
coola,cool
intervjun,the interview
skåp,cabinet
brody,brody
åtal,prosecution
stake,stake
förvånar,surprises
korten,the cards
fågeln,the bird
pam,pam
slott,Castle
knapp,meager
gåvor,gifts
förmodar,presume
klandrar,blames
varelsen,the creature
odjuret,the beast
teknologi,technology
flytt,move
trollkarl,wizard
eran,were
biter,bites
lev,lev
inspektören,the inspector
okända,unknown
harrison,harrison
våren,the spring
högg,hit
näst,second
insats,stake
morsan,the mother
härmed,hereby
osynlig,invisible
antyder,implies
bingo,bingo
sände,sent
befann,found
dumheter,Nonsense
studerar,studying
diane,diane
madam,madam
foster,foster
perry,perry
south,south
förtjänat,deserved
attackera,attack
billig,cheap
uppror,rebellion
personlighet,personality
skyller,blame
svettas,sweat
tom.,tom.
attityd,attitude
svikit,disappointed
grupper,groups
hoppats,hoped
bokstavligen,literally
rosie,rosie
sherlock,sherlock
värdefull,valuable
balen,to compress
exploderar,explodes
övning,exercise
hyr,rent
blomma,flower
lagade,cooked
anders,otherwise
gwen,gwen
morris,morris
donald,donald
kontaktade,contacted
world,world
guvernör,governor
duscha,shower
dricks,tip
vinet,the wine
f.d.,f.d.
småningom,gradually
studenter,students
skaffat,acquired
växt,Plant
houston,houston
bilolycka,car accident
italienska,Italian
deprimerad,depressed
örat,the ear
fett,fat
allergisk,allergic
fox,fox
föds,is born
fiska,fish
effekt,effect
kongressen,the congress
chaufför,driver
eli,or
ivan,ivan
knacka,tap
blåste,blew
peka,branch
bruten,broken
januari,January
hugga,chop
märklig,strange
rodney,rodney
riket,the kingdom
försäkrar,assures
rejäl,substantial
evans,evans
sugen,hungry
friska,healthy
särskild,special
detalj,detail
förhöra,catechize
minus,minus
bond,bond
rinner,flows
lloyd,lloyd
tatuering,tattoo
kriminella,criminals
a.,a.
mänskligt,humanly
oftare,more often
förföljer,pursues
kommunicera,communicate
fans,fans
motorvägen,the highway
deal,deal
angel,angel
packar,packs